epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5195,0.72509,2.97302,1.2431,0.35032,0.35213,0.21022,0.15166,0.83187,3.09382,1.46688,0.000360588,0.000360588,0.000360588
2,26.6168,0.68354,2.12437,1.2036,0.38066,0.41394,0.42872,0.29645,0.99942,2.20804,1.73307,0.000723685,0.000723685,0.000723685
3,39.7145,0.72648,1.78754,1.22644,0.35352,0.55128,0.39585,0.2576,1.26155,3.40381,2.10397,0.00107945,0.00107945,0.00107945
4,52.4944,0.72462,1.5781,1.21577,0.53538,0.59538,0.5223,0.3566,1.128,2.32645,1.78723,0.001078,0.001078,0.001078
5,66.138,0.71234,1.49404,1.20312,0.59539,0.5768,0.57157,0.3676,1.20112,2.14809,1.85988,0.001067,0.001067,0.001067
6,79.772,0.68094,1.38136,1.19329,0.53333,0.55775,0.54828,0.38014,1.08194,1.97849,1.73616,0.00105601,0.00105601,0.00105601
7,93.5453,0.73851,1.3934,1.2268,0.63526,0.49715,0.52751,0.37816,1.10229,1.91436,1.72009,0.00104501,0.00104501,0.00104501
8,106.761,0.66724,1.26907,1.17193,0.6479,0.62014,0.63083,0.43083,1.0221,1.64049,1.5706,0.00103401,0.00103401,0.00103401
9,119.829,0.67406,1.23879,1.17495,0.75917,0.55167,0.6806,0.49815,0.95883,1.46924,1.60575,0.00102301,0.00102301,0.00102301
10,131.636,0.6463,1.1711,1.15534,0.57755,0.58064,0.60242,0.44626,1.03492,1.5201,1.59148,0.00101201,0.00101201,0.00101201
11,144.889,0.6501,1.13987,1.16817,0.5761,0.57616,0.56672,0.36662,1.18692,1.77526,1.66589,0.00100101,0.00100101,0.00100101
12,157.99,0.61025,1.06923,1.13052,0.54586,0.59655,0.54997,0.41002,0.98585,1.81392,1.52811,0.000990012,0.000990012,0.000990012
13,171.105,0.60191,1.09956,1.1254,0.68198,0.61314,0.66001,0.48165,1.00061,1.54203,1.53297,0.000979013,0.000979013,0.000979013
14,184.69,0.59603,1.04554,1.12683,0.61402,0.61745,0.62802,0.46528,0.90207,1.47399,1.48077,0.000968014,0.000968014,0.000968014
15,197.543,0.59277,1.01171,1.11839,0.64427,0.69581,0.67773,0.53871,0.81132,1.32443,1.36445,0.000957015,0.000957015,0.000957015
16,209.886,0.59772,0.98618,1.11609,0.71532,0.67531,0.68982,0.53941,0.88024,1.32329,1.43558,0.000946016,0.000946016,0.000946016
